Speaker name,Room,Title,Description,Track,Level
Sébastien Blanc,,30 minutes to understand MCP (Model Context Protocol),,GenAI & Beyond,BEGINNER
Simon Ritter,,30 Years of Java - How Did We Get Here?,,Java,BEGINNER
Markus Westergren & Elma Westergren,,A Developer's Search for Meaning: Thriving as AI Transforms Our World,,People & Culture,INTERMEDIATE
Arjen Poutsma,,A Long Spring: 19 Years of Living with Your Past Mistakes,,Development Practices,INTERMEDIATE
Loïc Magnette,,A2A in 30 Minutes: Building Interoperable AI Agents,,GenAI & Beyond,BEGINNER
Maarten Mulders,,Accelerating Maven Builds: From Snail's Pace 🐌 to Rocket Speed 🚀,,Development Practices,INTERMEDIATE
Lucien Immink,,Accessibility; beyond the tools,,People & Culture,INTERMEDIATE
Mario Fusco & Kevin Dubois,,Agentic AI Patterns,,GenAI & Beyond,INTERMEDIATE
Stephen Chin,,Agentic GraphRAG: AI’s Logical Edge,,GenAI & Beyond,INTERMEDIATE
Guillaume Laforge,,"AI Agents, the New Frontier for LLMs",,GenAI & Beyond,BEGINNER
Loïc Magnette,,"AI-Powered Form Wizards: Chat, Click, Done",,Build Different,BEGINNER
Pal Magnus Slatto,,Amazon Q Developer: Your AI Pair Programmer for Java Modernization and Development,,Build Different,INTERMEDIATE
Christopher Batey,,Application Architecture for Real-World Continuous Delivery,,Architecture,BEGINNER
Neal Ford,,Architecture as Code: Quantifying Architectural Trade-offs,,Architecture,INTERMEDIATE
Andy Bailey,,"Augmented Development, the successes, surprises and pitfalls",,GenAI & Beyond,INTERMEDIATE
Daniel Garnier-Moiroux,,"Authorization in Spring Security: permissions, roles and beyond",,Security,INTERMEDIATE
Alex Gavrilescu,,Backlog.md - Reaching 95 % Task success rate with AI Agents,,GenAI & Beyond,BEGINNER
Marit van Dijk,,Be more productive with IntelliJ IDEA,,Development Practices,INTERMEDIATE
Mario Fusco,,Behavioral Software Engineering,,People & Culture,BEGINNER
Josh Long & Thomas Wuerthinger,,Bootiful GraalVM,,Java,INTERMEDIATE
Josh Long & Christian Tzolov,,Bootiful Spring AI,,GenAI & Beyond,BEGINNER
Josh Long,,Bootiful Spring Boot,,Server Side Java,BEGINNER
Josh Long,,Bootiful Spring Boot: the Deep-Dive,,Server Side Java,BEGINNER
Tom Cools,,Braving the Change: Recalibrating to new realities,,People & Culture,BEGINNER
